epoch,lr,train_loss,train_bce_v,train_dist_s,train_dist_n,train_entropy,train_v_acc,train_v_prec,train_f1,train_v_rec,train_v_f2,train_v_pr_auc,train_v_auc,val_v_acc,val_v_prec,val_v_f1,val_v_rec,val_v_f2,val_v_pr_auc,val_v_auc,val_s_mean,val_s_std,val_n_mean,val_n_std,shortcut_gap
1,0.00075,8.441664392749468,8.010671360068955,0.01985849455619852,0.012351676976929108,4.1488808790842695,0.8809523809523809,1.0,0.935064935064935,0.8780487804878049,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39994749426841736,0.22069226205348969,0.132465198636055,0.07348065078258514,0.98388445
2,0.0002500000000000001,0.42751269539197284,0.00027347309480655707,0.013412781525403261,0.009392026113346219,4.158368110656738,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39993125200271606,0.22071337699890137,0.13247385621070862,0.07347733527421951,0.9998655
3,0.0,0.4379364599784215,3.5688535780560524e-05,0.026053431443870068,0.0229805801063776,4.133837699890137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.399932324886322,0.22070780396461487,0.132473424077034,0.07347579300403595,0.9999563
